Unnamed: 0;CODGEO;LIBGEO;DEP;SUPERF;MED16;Geo_Shape;geo_point_2d;Cluster Labels;1st Most Common Venue;2nd Most Common Venue;3rd Most Common Venue;4th Most Common Venue;5th Most Common Venue;6th Most Common Venue;7th Most Common Venue;8th Most Common Venue;9th Most Common Venue;10th Most Common Venue
0;75101;Paris 1er Arrondissement;75;1.83;32697.3333333;"{""type"": ""Polygon"", ""coordinates"": [[[2.3257616255, 48.8695461335], [2.3276688731, 48.8698608398], [2.3278733622, 48.869861089], [2.3302575183, 48.8682880119], [2.3361151715, 48.8668052517], [2.3444931766, 48.8648728726], [2.3508413206, 48.8633444116], [2.3507050838, 48.8631197354], [2.3500909446, 48.8620866501], [2.3500912644, 48.8619517498], [2.3491376797, 48.8603790043], [2.3483190906, 48.8588060846], [2.3474889951, 48.8575028993], [2.3460574912, 48.8554715433], [2.3455817886, 48.8549329282], [2.3445592261, 48.8539893056], [2.3434700905, 48.8544384077], [2.3422441929, 48.8552473888], [2.3402021846, 48.8567848321], [2.3384310935, 48.8579082368], [2.3362520881, 48.8586273429], [2.3330513477, 48.8593011477], [2.3328469001, 48.8593009075], [2.3316210398, 48.8596601027], [2.3227524909, 48.862445893], [2.3207773516, 48.8630750359], [2.3224109231, 48.8652319388], [2.3252159127, 48.8693667869], [2.3257616255, 48.8695461335]]]}";48.8625262113,2.33630086091;0;French Restaurant;Japanese Restaurant;Italian Restaurant;Plaza;Hotel;Wine Bar;Coffee Shop;Art Museum;Historic Site;Theater
1;75102;Paris 2e Arrondissement;75;0.99;30566.5;"{""type"": ""Polygon"", ""coordinates"": [[[2.3508413206, 48.8633444116], [2.3444931766, 48.8648728726], [2.3361151715, 48.8668052517], [2.3302575183, 48.8682880119], [2.3278733622, 48.869861089], [2.3288267056, 48.870040911], [2.3399298106, 48.8719373105], [2.3478317711, 48.8706244203], [2.3541114927, 48.8692752859], [2.3539755249, 48.8689166144], [2.352954153, 48.8670746413], [2.3514535666, 48.8644224486], [2.3508413206, 48.8633444116]]]}";48.8682182328,2.34268958705;0;French Restaurant;Wine Bar;Cocktail Bar;Hotel;Bistro;Bakery;Italian Restaurant;Creperie;Bar;Salad Place
2;75103;Paris 3e Arrondissement;75;1.17;31333.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.3500912644, 48.8619517498], [2.3500909446, 48.8620866501], [2.3507050838, 48.8631197354], [2.3508413206, 48.8633444116], [2.3514535666, 48.8644224486], [2.352954153, 48.8670746413], [2.3539755249, 48.8689166144], [2.3541114927, 48.8692752859], [2.3545204664, 48.8692756934], [2.3632389555, 48.8677908164], [2.363851339, 48.8674316383], [2.3641918944, 48.8671168797], [2.3660980435, 48.8640602322], [2.3666424925, 48.8631170047], [2.3683407042, 48.8565013894], [2.3684085726, 48.8559621376], [2.3684085722, 48.8557373], [2.3641870355, 48.8564578069], [2.3630977539, 48.8568171502], [2.3609184729, 48.8575906636], [2.3592162813, 48.8583550012], [2.3574460544, 48.8596585582], [2.3554710786, 48.8606480123], [2.3544497971, 48.8610076427], [2.3500912644, 48.8619517498]]]}";48.8628851439,2.35993164256;0;French Restaurant;Wine Bar;Coffee Shop;Art Gallery;Japanese Restaurant;Cocktail Bar;Gourmet Shop;Sandwich Place;Burger Joint;Vietnamese Restaurant
3;75104;Paris 4e Arrondissement;75;1.6;31007.2222222;"{""type"": ""Polygon"", ""coordinates"": [[[2.3445592261, 48.8539893056], [2.3455817886, 48.8549329282], [2.3460574912, 48.8554715433], [2.3474889951, 48.8575028993], [2.3483190906, 48.8588060846], [2.3491376797, 48.8603790043], [2.3500912644, 48.8619517498], [2.3544497971, 48.8610076427], [2.3554710786, 48.8606480123], [2.3574460544, 48.8596585582], [2.3592162813, 48.8583550012], [2.3609184729, 48.8575906636], [2.3630977539, 48.8568171502], [2.3641870355, 48.8564578069], [2.3684085722, 48.8557373], [2.3685451261, 48.8556031182], [2.3690196511, 48.8534453795], [2.3690196371, 48.8532214407], [2.368883346, 48.852771945], [2.3671784928, 48.8491772148], [2.3664971614, 48.8478290713], [2.3661564942, 48.8473802865], [2.3643180356, 48.8461671913], [2.3625483504, 48.847470838], [2.3539703443, 48.8509772862], [2.3464655848, 48.8533602922], [2.3445592261, 48.8539893056]]]}";48.8542874923,2.35759608216;0;French Restaurant;Ice Cream Shop;Clothing Store;Plaza;Hotel;Garden;Wine Bar;Tea Room;Pedestrian Plaza;Gourmet Shop
4;75105;Paris 5e Arrondissement;75;2.54;33169.3333333;"{""type"": ""Polygon"", ""coordinates"": [[[2.3445592261, 48.8539893056], [2.3464655848, 48.8533602922], [2.3539703443, 48.8509772862], [2.3625483504, 48.847470838], [2.3643180356, 48.8461671913], [2.3644532234, 48.8460321064], [2.3659508209, 48.8449086593], [2.3646569199, 48.8441895018], [2.3641795001, 48.8435610106], [2.3632942029, 48.8423025925], [2.3615913872, 48.8400469092], [2.3613870338, 48.8398227762], [2.3530801141, 48.8371726778], [2.351718069, 48.8368136512], [2.3471442691, 48.8372627414], [2.3448974219, 48.8377127319], [2.3420384636, 48.8382969179], [2.3402008424, 48.8387014041], [2.3371364717, 48.8394660119], [2.3365927072, 48.8396905371], [2.3368645839, 48.8402748338], [2.3437417961, 48.8527760926], [2.3442189498, 48.8536294982], [2.3445592261, 48.8539893056]]]}";48.8444087298,2.35049826182;0;French Restaurant;Plaza;Bakery;Coffee Shop;Italian Restaurant;Museum;Hotel;Science Museum;Vietnamese Restaurant;Greek Restaurant
5;75106;Paris 6e Arrondissement;75;2.15;39062.6666667;"{""type"": ""Polygon"", ""coordinates"": [[[2.3166281603, 48.8467523875], [2.3199648828, 48.8481465243], [2.3282850183, 48.8517873639], [2.3286255478, 48.8520123158], [2.3293056749, 48.8526411831], [2.3314852114, 48.8560115718], [2.3325054501, 48.8587171232], [2.3328469001, 48.8593009075], [2.3330513477, 48.8593011477], [2.3362520881, 48.8586273429], [2.3384310935, 48.8579082368], [2.3402021846, 48.8567848321], [2.3422441929, 48.8552473888], [2.3434700905, 48.8544384077], [2.3445592261, 48.8539893056], [2.3442189498, 48.8536294982], [2.3437417961, 48.8527760926], [2.3368645839, 48.8402748338], [2.3365927072, 48.8396905371], [2.336387764, 48.8397352681], [2.3261750183, 48.8430687853], [2.3248134306, 48.8435179854], [2.3246635446, 48.8435180387], [2.3196930905, 48.8452706173], [2.3175824608, 48.8463036565], [2.3166281603, 48.8467523875]]]}";48.8491121688,2.33284677547;0;French Restaurant;Italian Restaurant;Wine Bar;Plaza;Hotel;Chocolate Shop;Café;Clothing Store;Sandwich Place;Tea Room
6;75107;Paris 7e Arrondissement;75;4.09;42465.5555556;"{""type"": ""Polygon"", ""coordinates"": [[[2.3207773516, 48.8630750359], [2.3227524909, 48.862445893], [2.3316210398, 48.8596601027], [2.3328469001, 48.8593009075], [2.3325054501, 48.8587171232], [2.3314852114, 48.8560115718], [2.3293056749, 48.8526411831], [2.3286255478, 48.8520123158], [2.3282850183, 48.8517873639], [2.3199648828, 48.8481465243], [2.3166281603, 48.8467523875], [2.3164251128, 48.8467530262], [2.3105585096, 48.8467733241], [2.3021915204, 48.850344749], [2.2978868523, 48.8529492956], [2.293593541, 48.8556895539], [2.2900513381, 48.8579889313], [2.2897782766, 48.8581231138], [2.290527186, 48.8589774473], [2.2920917684, 48.8601918483], [2.2933164629, 48.8610453785], [2.2957003837, 48.8622600679], [2.2980147517, 48.8629796568], [2.2995126529, 48.8632951123], [2.300874718, 48.8634748529], [2.3015562722, 48.863475235], [2.314169879, 48.8638377739], [2.317984491, 48.8637930213], [2.318938291, 48.8636140865], [2.3207773516, 48.8630750359]]]}";48.8562037309,2.31211931168;0;French Restaurant;Hotel;Plaza;Italian Restaurant;Historic Site;Coffee Shop;Cocktail Bar;History Museum;Café;Garden
7;75108;Paris 8e Arrondissement;75;3.88;40540.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.3271206971, 48.8834854166], [2.3267815675, 48.8763859614], [2.3262379302, 48.8716137055], [2.3257616255, 48.8695461335], [2.3252159127, 48.8693667869], [2.3224109231, 48.8652319388], [2.3207773516, 48.8630750359], [2.318938291, 48.8636140865], [2.317984491, 48.8637930213], [2.314169879, 48.8638377739], [2.3015562722, 48.863475235], [2.3014884622, 48.8640594169], [2.2987601892, 48.8688666675], [2.2973952542, 48.8711133224], [2.296441453, 48.8722858609], [2.2953508201, 48.873592487], [2.2951453922, 48.8738619797], [2.2969827446, 48.8764242163], [2.2973907174, 48.8770084846], [2.2981403263, 48.8780426256], [2.2983436357, 48.8781328519], [2.3091216844, 48.8804267931], [2.3126637269, 48.8808770636], [2.3166838581, 48.8813722272], [2.3271206971, 48.8834854166]]]}";48.8727847697,2.31253091687;0;French Restaurant;Hotel;Art Gallery;Plaza;Cosmetics Shop;Bar;Theater;Spa;Bakery;Tailor Shop
8;75109;Paris 9e Arrondissement;75;2.18;33258.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.3257616255, 48.8695461335], [2.3262379302, 48.8716137055], [2.3267815675, 48.8763859614], [2.3271206971, 48.8834854166], [2.3273252396, 48.8834856667], [2.3379555061, 48.8822498834], [2.3471534125, 48.8833058437], [2.3495508401, 48.8836201679], [2.349687757, 48.8828115149], [2.3498239459, 48.8809686264], [2.3498228107, 48.8802950207], [2.3490739939, 48.8779131147], [2.348255293, 48.8758914518], [2.347982803, 48.8746776625], [2.3478454394, 48.8737793757], [2.3478317711, 48.8706244203], [2.3399298106, 48.8719373105], [2.3288267056, 48.870040911], [2.3278733622, 48.869861089], [2.3276688731, 48.8698608398], [2.3257616255, 48.8695461335]]]}";48.8769868607,2.33753841597;0;French Restaurant;Hotel;Japanese Restaurant;Cocktail Bar;Wine Bar;Bistro;Cheese Shop;Italian Restaurant;Coffee Shop;Vegetarian / Vegan Restaurant
9;75110;Paris 10e Arrondissement;75;2.89;25618.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.3646776664, 48.8842913519], [2.368494266, 48.8839760942], [2.3691059956, 48.8835710245], [2.3702102259, 48.8825821814], [2.3703430908, 48.8779090609], [2.3712287617, 48.8770548535], [2.3761987097, 48.8726048684], [2.3770153521, 48.8719211293], [2.3759249018, 48.8715620096], [2.3656913755, 48.8682400187], [2.3644644898, 48.8677910347], [2.363851339, 48.8674316383], [2.3632389555, 48.8677908164], [2.3545204664, 48.8692756934], [2.3541114927, 48.8692752859], [2.3478317711, 48.8706244203], [2.3478454394, 48.8737793757], [2.347982803, 48.8746776625], [2.348255293, 48.8758914518], [2.3490739939, 48.8779131147], [2.3498228107, 48.8802950207], [2.3498239459, 48.8809686264], [2.349687757, 48.8828115149], [2.3495508401, 48.8836201679], [2.3507778034, 48.8837545322], [2.3592953095, 48.884292348], [2.3635193726, 48.8843364616], [2.3646776664, 48.8842913519]]]}";48.8760781985,2.36069992794;0;French Restaurant;Coffee Shop;Italian Restaurant;Indian Restaurant;Japanese Restaurant;Bistro;Seafood Restaurant;Pizza Place;Bakery;Asian Restaurant
